team,billing_county,county,,state_abbr,state_name,state_fips,geo_type,county_name,county_name_full,join,GEOID
Nashville Predators,"Fulton, KY",Fulton, KY,KY,Kentucky,21,County,Fulton County,"Fulton County, Kentucky",Fulton County21,19025
Nashville Predators,"Knott, KY",Knott, KY,KY,Kentucky,21,County,Knott County,"Knott County, Kentucky",Knott County21,48159
Nashville Predators,"Collingsworth, TX",Collingsworth, TX,TX,Texas,48,County,Collingsworth County,"Collingsworth County, Texas",Collingsworth County48,19025
Nashville Predators,"Franklin, MS",Franklin, MS,MS,Mississippi,28,County,Franklin County,"Franklin County, Mississippi",Franklin County28,19025
Nashville Predators,"Parke, IN",Parke, IN,IN,Indiana,18,County,Parke County,"Parke County, Indiana",Parke County18,40111
Nashville Predators,"Transylvania, NC",Transylvania, NC,NC,North Carolina,37,County,Transylvania County,"Transylvania County, North Carolina",Transylvania County37,46007
Nashville Predators,"Covington, MS",Covington, MS,MS,Mississippi,28,County,Covington County,"Covington County, Mississippi",Covington County28,19025
Nashville Predators,"Carroll, KY",Carroll, KY,KY,Kentucky,21,County,Carroll County,"Carroll County, Kentucky",Carroll County21,19025
Nashville Predators,"Candler, GA",Candler, GA,GA,Georgia,13,County,Candler County,"Candler County, Georgia",Candler County13,19025
Nashville Predators,"Kimble, TX",Kimble, TX,TX,Texas,48,County,Kimble County,"Kimble County, Texas",Kimble County48,48159
Nashville Predators,"Letcher, KY",Letcher, KY,KY,Kentucky,21,County,Letcher County,"Letcher County, Kentucky",Letcher County21,48159
Nashville Predators,"Lawrence, KY",Lawrence, KY,KY,Kentucky,21,County,Lawrence County,"Lawrence County, Kentucky",Lawrence County21,48159
Nashville Predators,"Neshoba, MS",Neshoba, MS,MS,Mississippi,28,County,Neshoba County,"Neshoba County, Mississippi",Neshoba County28,12069
Nashville Predators,"Monroe, AL",Monroe, AL,AL,Alabama,01,County,Monroe County,"Monroe County, Alabama",Monroe County01,12069
Nashville Predators,"Jackson, KY",Jackson, KY,KY,Kentucky,21,County,Jackson County,"Jackson County, Kentucky",Jackson County21,31045
Nashville Predators,"Carroll, VA",Carroll, VA,VA,Virginia,51,County,Carroll County,"Carroll County, Virginia",Carroll County51,19025
Nashville Predators,"Rowan, KY",Rowan, KY,KY,Kentucky,21,County,Rowan County,"Rowan County, Kentucky",Rowan County21,47059
Nashville Predators,"Gallatin, IL",Gallatin, IL,IL,Illinois,17,County,Gallatin County,"Gallatin County, Illinois",Gallatin County17,42031
